Folder evaluated: results/crdr_q000_b384_mc
Reference folder: dataset/block
Date: 2026-09-07 11:40:11
Device: cuda

filename                                          PSNR         LPIPS         DISTS          VMAF           FID
--------------------------------------------------------------------------------------------------------------
001_acacia_door_bottom.png                   11.967234      0.693042      0.473723      2.541537       99.6548
002_acacia_door_top.png                      21.542582      0.306554      0.360404      1.646315       99.6548
003_acacia_leaves.png                         7.950763      0.631214      0.505905      7.710408       99.6548
004_acacia_leaves_opaque.png                 12.395131      0.247935      0.346770      0.000000       99.6548
005_acacia_log.png                            9.112188      0.482710      0.424467      0.826620       99.6548
006_acacia_log_top.png                       11.673978      0.730842      0.472962      3.984810       99.6548
007_acacia_planks.png                        13.916366      0.534754      0.429915      0.000000       99.6548
008_acacia_sapling.png                        7.675295      0.765609      0.502880      6.381696       99.6548
009_acacia_trapdoor.png                      10.670427      0.731985      0.500326      0.388687       99.6548
010_activator_rail.png                       13.954221      0.697080      0.435303     10.570931       99.6548
011_activator_rail_on.png                    15.822993      0.738920      0.431806      5.815240       99.6548
012_allium.png                                4.569083      0.793743      0.514351      8.227041       99.6548
013_ancient_debris_side.png                   4.611919      0.596602      0.481378      1.178235       99.6548
014_ancient_debris_top.png                   18.398350      0.206485      0.329854      2.274018       99.6548
015_andesite.png                             11.396826      0.615088      0.459207      8.434583       99.6548
016_anvil.png                                 8.171603      0.886191      0.466791      0.000000       99.6548
017_anvil_top.png                            26.008724      0.337092      0.307996     13.492702       99.6548
018_attached_melon_stem.png                  15.678327      0.654806      0.450309     20.392357       99.6548
019_attached_pumpkin_stem.png                24.401726      0.037576      0.177126     62.727398       99.6548
020_azalea_leaves.png                         8.441756      0.521687      0.494227      0.000000       99.6548
021_azalea_plant.png                         12.471046      0.305236      0.342133      3.719512       99.6548
022_azalea_side.png                          14.127112      0.140143      0.247223      6.225246       99.6548
023_azalea_top.png                           10.178659      0.373410      0.343877      1.132855       99.6548
024_azure_bluet.png                           7.832520      0.636932      0.426675      6.348375       99.6548
025_bamboo_large_leaves.png                   9.198202      0.756261      0.432344      0.000000       99.6548
026_bamboo_singleleaf.png                     9.283188      0.744337      0.487337      7.993794       99.6548
027_bamboo_small_leaves.png                  16.959124      0.579616      0.416620      0.000000       99.6548
028_bamboo_stage0.png                        14.351741      0.453669      0.391381      0.000000       99.6548
029_bamboo_stalk.png                          7.141312      0.621306      0.528284      0.000000       99.6548
030_barrel_bottom.png                        13.210768      0.595704      0.431603      3.955614       99.6548
031_barrel_side.png                          18.403730      0.372447      0.373495      7.577124       99.6548
032_barrel_top.png                           18.442177      0.441835      0.382958      3.299033       99.6548
033_barrel_top_open.png                      13.742506      0.481716      0.398192     16.687069       99.6548
034_barrier.png                               2.901407      0.564788      0.531742      3.734427       99.6548
035_basalt_side.png                           4.054641      0.936461      0.522047      2.243235       99.6548
036_basalt_top.png                           17.442321      0.396369      0.288119     15.132408       99.6548
037_basalt_top_old.png                       16.324235      0.132004      0.271116      8.233070       99.6548
038_basalt_top_old2.png                      18.863365      0.075121      0.250259     19.747200       99.6548
039_beacon.png                                9.114465      0.934930      0.607886      6.705702       99.6548
040_bed_feet_end.png                          6.961704      0.727487      0.488254     11.571194       99.6548
041_bed_feet_side.png                        15.946187      0.272774      0.282037      0.000000       99.6548
042_bed_feet_top.png                         12.614530      0.563513      0.445758      0.000000       99.6548
043_bed_head_end.png                         11.576216      0.780936      0.474804     16.940943       99.6548
044_bed_head_side.png                        15.162526      0.315337      0.299441      0.000000       99.6548
045_bed_head_top.png                         10.055644      0.524291      0.426001      0.000000       99.6548
046_bedrock.png                              11.815269      0.646055      0.473781      3.187646       99.6548
